humidity,pressure,rain
0.5,0.81,0
0.96,1.05,0
0.79,0.93,1
0.68,1.0,0
0.32,1.16,0
0.32,0.9,0
0.25,0.96,0
0.89,1.1,0
0.68,0.89,1
0.77,0.83,1
0.22,0.92,0
0.98,0.86,1
0.87,1.17,0
0.37,1.12,0
0.35,1.05,0
0.35,1.15,0
0.44,1.12,0
0.62,0.87,1
0.55,1.16,0
0.43,1.02,0
0.69,1.12,0
0.31,1.16,0
0.43,0.93,0
0.49,0.84,0
0.56,0.89,0
0.83,0.97,1
0.36,1.13,0
0.61,1.14,0
0.67,0.8,1
0.24,1.0,0
0.69,0.97,1
0.34,0.89,0
0.25,0.85,0
0.96,0.94,1
0.97,1.18,0
0.85,0.93,1
0.44,1.01,0
0.28,1.08,0
0.75,0.95,1
0.55,1.19,0
0.3,1.18,0
0.6,0.9,0
0.23,1.0,0
0.93,0.92,1
0.41,0.91,0
0.73,0.81,1
0.45,1.04,0
0.62,1.0,0
0.64,0.82,1
0.35,0.91,0
0.98,1.16,0
0.82,0.9,1
0.95,0.86,1
0.92,1.0,0
0.68,1.19,0
0.94,0.9,1
0.27,1.07,0
0.36,1.1,0
0.24,0.9,0
0.46,1.09,0
0.51,0.95,0
0.42,1.05,0
0.86,1.05,0
0.49,1.01,0
0.42,0.84,0
0.63,1.13,0
0.31,0.93,0
0.84,0.87,1
0.26,0.82,0
0.99,1.04,0
0.82,1.07,0
0.36,0.81,0
0.2,1.0,0
0.85,0.89,1
0.77,1.06,0
0.78,0.87,1
0.82,1.08,0
0.26,0.95,0
0.49,1.17,0
0.29,0.86,0
0.89,0.94,1
0.7,0.85,1
0.46,1.17,0
0.25,1.15,0
0.45,0.9,0
0.46,1.06,0
0.78,1.13,0
0.71,1.02,0
0.91,1.01,0
0.58,0.9,0
0.3,0.84,0
0.77,1.16,0
0.81,1.16,0
0.65,1.05,0
0.82,0.94,1
0.6,0.94,0
0.62,1.09,0
0.54,1.16,0
0.22,1.15,0
0.29,1.11,0
